scheme,mode,n_blocks,message_bits_per_party,ell,lambda_bits,r,last_chunk_bits,KE_QKD_communication_included,initialization_records_separate,post_ke_record_count,causal_round_count_post_ke,quantum_transmissions,actual_serialized_post_ke_bytes,actual_value_only_semantic_bits,comparable_payload_auth_binary_bits,comparable_formula,D_dec_compact_bits,mac_records,prf_confirm_records,mac_generate_calls,mac_verify_calls,prf_generate_calls,prf_verify_calls,commitment_generate_operations,commitment_verify_operations,open_records,claim_boundary
IAQD_RELEASE_V7,RELEASE,4,8,4,1,8,1,False,2,24,22,1,20311,46248,16958,D_dec+8n+2560+1792r,30,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,4,2,4,2,False,2,16,14,1,13263,29650,9790,D_dec+8n+2560+1792r,30,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,4,4,2,4,False,2,12,10,1,9739,21353,6206,D_dec+8n+2560+1792r,30,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,4,8,1,8,False,2,10,8,1,7977,17203,4414,D_dec+8n+2560+1792r,30,8,2,8,8,2,2,2,2,2,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,4,8,155,,0,,False,2,6,5,1,10094,12067,2222,D_dec+4n+1536,670,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,155,1,8,1,False,2,24,22,1,25748,48867,17598,D_dec+8n+2560+1792r,670,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,155,2,4,2,False,2,16,14,1,18700,32261,10430,D_dec+8n+2560+1792r,670,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,155,4,2,4,False,2,12,10,1,15176,23966,6846,D_dec+8n+2560+1792r,670,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,4,8,155,8,1,8,False,2,10,8,1,13414,19822,5054,D_dec+8n+2560+1792r,670,8,2,8,8,2,2,2,2,2,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,8,16,4,,0,,False,2,6,5,1,4673,9487,1602,D_dec+4n+1536,34,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,4,1,16,1,False,2,40,38,1,34439,79549,31330,D_dec+8n+2560+1792r,34,38,2,38,38,2,2,32,32,32,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,4,2,8,2,False,2,24,22,1,20343,46318,16994,D_dec+8n+2560+1792r,34,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,4,4,4,4,False,2,16,14,1,13295,29710,9826,D_dec+8n+2560+1792r,34,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,4,8,2,8,False,2,12,10,1,9771,21406,6242,D_dec+8n+2560+1792r,34,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,8,16,155,,0,,False,2,6,5,1,10110,12091,2276,D_dec+4n+1536,708,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,155,1,16,1,False,2,40,38,1,39876,82171,32004,D_dec+8n+2560+1792r,708,38,2,38,38,2,2,32,32,32,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,155,2,8,2,False,2,24,22,1,25780,48930,17668,D_dec+8n+2560+1792r,708,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,155,4,4,4,False,2,16,14,1,18732,32322,10500,D_dec+8n+2560+1792r,708,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,8,16,155,8,2,8,False,2,12,10,1,15208,24029,6916,D_dec+8n+2560+1792r,708,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,16,32,4,,0,,False,2,6,5,1,4705,9531,1642,D_dec+4n+1536,42,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,4,1,32,1,False,2,72,70,1,62695,146231,60074,D_dec+8n+2560+1792r,42,70,2,70,70,2,2,64,64,64,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,4,2,16,2,False,2,40,38,1,34503,79697,31402,D_dec+8n+2560+1792r,42,38,2,38,38,2,2,32,32,32,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,4,4,8,4,False,2,24,22,1,20407,46429,17066,D_dec+8n+2560+1792r,42,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,4,8,4,8,False,2,16,14,1,13359,29807,9898,D_dec+8n+2560+1792r,42,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,16,32,155,,0,,False,2,6,5,1,10142,12178,2368,D_dec+4n+1536,768,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,155,1,32,1,False,2,72,70,1,68132,148859,60800,D_dec+8n+2560+1792r,768,70,2,70,70,2,2,64,64,64,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,155,2,16,2,False,2,40,38,1,39940,82324,32128,D_dec+8n+2560+1792r,768,38,2,38,38,2,2,32,32,32,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,155,4,8,4,False,2,24,22,1,25844,49072,17792,D_dec+8n+2560+1792r,768,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,16,32,155,8,4,8,False,2,16,14,1,18796,32445,10624,D_dec+8n+2560+1792r,768,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,32,64,4,,0,,False,2,6,5,1,4769,9604,1712,D_dec+4n+1536,48,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,4,1,64,1,False,2,136,134,1,119207,279765,117552,D_dec+8n+2560+1792r,48,134,2,134,134,2,2,128,128,128,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,4,2,32,2,False,2,72,70,1,62823,146502,60208,D_dec+8n+2560+1792r,48,70,2,70,70,2,2,64,64,64,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,4,4,16,4,False,2,40,38,1,34631,79904,31536,D_dec+8n+2560+1792r,48,38,2,38,38,2,2,32,32,32,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,4,8,8,8,False,2,24,22,1,20535,46611,17200,D_dec+8n+2560+1792r,48,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,32,64,155,,0,,False,2,6,5,1,10206,12256,2524,D_dec+4n+1536,860,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,155,1,64,1,False,2,136,134,1,124644,282426,118364,D_dec+8n+2560+1792r,860,134,2,134,134,2,2,128,128,128,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,155,2,32,2,False,2,72,70,1,68260,149154,61020,D_dec+8n+2560+1792r,860,70,2,70,70,2,2,64,64,64,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,155,4,16,4,False,2,40,38,1,40068,82574,32348,D_dec+8n+2560+1792r,860,38,2,38,38,2,2,32,32,32,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,32,64,155,8,8,8,False,2,24,22,1,25972,49279,18012,D_dec+8n+2560+1792r,860,22,2,22,22,2,2,16,16,16,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
original_AQD,ORIGINAL,1,2,4,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,794,rho(256)+D_dec+4n+2d_H(256),22,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,1,2,155,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,1408,rho(256)+D_dec+4n+2d_H(256),636,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,2,4,4,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,800,rho(256)+D_dec+4n+2d_H(256),24,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,2,4,155,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,1424,rho(256)+D_dec+4n+2d_H(256),648,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,4,8,4,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,814,rho(256)+D_dec+4n+2d_H(256),30,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,4,8,155,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,1454,rho(256)+D_dec+4n+2d_H(256),670,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,8,16,4,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,834,rho(256)+D_dec+4n+2d_H(256),34,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,8,16,155,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,1508,rho(256)+D_dec+4n+2d_H(256),708,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,16,32,4,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,874,rho(256)+D_dec+4n+2d_H(256),42,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,16,32,155,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,1600,rho(256)+D_dec+4n+2d_H(256),768,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,32,64,4,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,944,rho(256)+D_dec+4n+2d_H(256),48,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
original_AQD,ORIGINAL,32,64,155,,,,False,not_defined_for_original_paper_protocol,6,5,1,NA_no_common_serializer,NA_no_common_serializer,1756,rho(256)+D_dec+4n+2d_H(256),860,NA,0,NA,NA,0,0,0,0,0,paper symbolic field count; no byte-level comparison because original AQD has no reviewed CE1 serializer
