component,distribution,min_entropy_bits,q,recovery_rate,chosen_bit,guessed_bit,privacy_advantage,session,digest,method,collision_precondition,zipf_exponent,zipf_offset,preprocessing_seconds,online_query_seconds
dictionary,uniform,16,7,0.0001068115234375,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,16,66,0.001007080078125,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,16,656,0.010009765625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,16,6554,0.100006103515625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,16,65536,1.0,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,0.061997400131076574,9.997747838497162e-07
dictionary,zipf,16,1,1.5258789062563975e-05,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,13106.099998474117,,
dictionary,zipf,16,7,0.00010678219721745719,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,13106.099998474117,,
dictionary,zipf,16,66,0.0010040944625733313,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,13106.099998474117,,
dictionary,zipf,16,656,0.009720219881623821,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,13106.099998474117,,
dictionary,zipf,16,6554,0.0778986547726365,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,13106.099998474117,,
dictionary,zipf,16,65536,0.30117821295226266,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,13106.099998474117,0.061997400131076574,9.997747838497162e-07
dictionary,uniform,20,1,9.5367431640625e-07,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,2,1.9073486328125e-06,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,11,1.049041748046875e-05,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,105,0.00010013580322265625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,1049,0.0010004043579101562,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,10486,0.010000228881835938,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,104858,0.10000038146972656,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,20,1048576,1.0,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,zipf,20,1,9.536743165147672e-07,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,2,1.907343175844959e-06,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,11,1.0490117358140229e-05,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,105,0.00010010601904523995,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,1049,0.0009974157458346273,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,10486,0.009710820562845553,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,104858,0.07789249890110467,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
dictionary,zipf,20,1048576,0.3011732144555332,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,209714.09999990475,,
