component,distribution,min_entropy_bits,q,recovery_rate,chosen_bit,guessed_bit,privacy_advantage,session,digest,notes,zipf_exponent,zipf_offset,preprocessing_seconds,online_query_seconds
dictionary,uniform,16,656,0.010009765625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,16,6554,0.100006103515625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,16,65536,1.0,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,0.07015420007519424,1.700129359960556e-06
dictionary,zipf,16,1,1.5258789062563975e-05,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,13106.099998474117,,
dictionary,zipf,16,7,0.00010678219721745719,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,13106.099998474117,,
dictionary,zipf,16,66,0.0010040944625733313,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,13106.099998474117,,
dictionary,zipf,16,656,0.009720219881623821,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,13106.099998474117,,
dictionary,zipf,16,6554,0.0778986547726365,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,13106.099998474117,,
dictionary,zipf,16,65536,0.30117821295226266,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,13106.099998474117,0.07015420007519424,1.700129359960556e-06
dictionary,uniform,20,1,9.5367431640625e-07,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,2,1.9073486328125e-06,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,11,1.049041748046875e-05,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,105,0.00010013580322265625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,1049,0.0010004043579101562,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,10486,0.010000228881835938,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,104858,0.10000038146972656,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,20,1048576,1.0,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,zipf,20,1,9.536743165147672e-07,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,2,1.907343175844959e-06,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,11,1.0490117358140229e-05,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,105,0.00010010601904523995,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,1049,0.0009974157458346273,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,10486,0.009710820562845553,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,104858,0.07789249890110467,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
dictionary,zipf,20,1048576,0.3011732144555332,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,209714.09999990475,,
